Date,Time,Name of Event,Location,Participants,Type of Event,Extra,Duration
01.01.2022,8,bMQpoeJ,London,410,Optional,0,6
09.01.2022,11,zEsCnydah,New Delhi,1822,Optional,1,18
11.01.2022,20,RjLXdYdErVx ,Zagreb,715,Optional,1,7
13.01.2022,19,QCDeZjRsBgz,Johor Bahru,1717,Optional,0,10
14.01.2022,22,gtmrlSOkCJmgPkANfw,Mata-Utu,14,Optional,1,21
20.01.2022,17,ufHzwWtiRWIrPmiHpNwp,Valdivia,1503,Important,Presenting,2
21.01.2022,8,OAfBiBpZrEzbfRelfVDohfwE,Juneau,1851,Optional,1,16
22.01.2022,23,TYqSQaWRsi,Shenyang,394,Optional,0,9
30.01.2022,16,TDNWziQrmFlG,Aberdeen,543,Optional,0,1
31.01.2022,4,qATuRDxrmSDfujhRNXNBL,Bishkek,1618,Important,Presenting,21
03.02.2022,10,mfRzdf xusfcQsFsimmAQvkXX,Tabriz,1528,Optional,0,20
05.02.2022,19,CpsZJolpvGDYjuUi oSvdXKsd,Nakhon Ratchasima,1153,Moveable,19.04.2023,9
07.02.2022,14,yZnxMjnEx FNBcQZRYVW,Surabaya,765,Optional,0,19
08.02.2022,15,Auxlu,Skopje,946,Optional,1,21
16.02.2022,6,jcoUILxTC,Labasa,1550,Moveable,12.10.2022,13
23.02.2022,1,PqNhpEbVOHcrgGOZbjNrYj,Saipan,1099,Optional,1,19
27.02.2022,13,vrMLdXBFRJEi,Makati City,1056,Moveable,18.06.2024,1
28.02.2022,5,TdEipQYEyxJti,Darwin,1478,Moveable,30.04.2024,18
02.03.2022,5,GFnUE,Makati City,568,Important,Hosting,5
04.03.2022,4,BFMvVlQ,Algiers,1327,Moveable,22.08.2022,10
06.03.2022,22,YtIwuyCRUqFlatOdvH,City of San Marino,409,Important,Presenting,3
07.03.2022,11,SEVUCqwFhEJZGQlSEKad,Istanbul,1207,Important,Hosting,1
29.03.2022,20,vWHsZ,Tirana,1427,Important,Presenting,11
30.03.2022,21,TiVcVJiHj,Phoenix,878,Important,Presenting,6
04.04.2022,19,gqWyxlOxQZkbggpDsUKpd,Pago Pago,1435,Moveable,22.01.2023,19
09.04.2022,21,mzPwBe,Ponta Delgada,1563,Moveable,27.10.2023,20
15.04.2022,9,aahtStJ,Lima,118,Important,Presenting,10
19.04.2022,20,yipBAHZOZvOpySk,Kano,1142,Optional,0,20
03.05.2022,0,kGCZfIi,Sitka,1475,Moveable,05.06.2024,19
04.05.2022,22,FORGx oSJHFEOSVS FauHg,Pontianak,499,Important,Presenting,4
10.05.2022,4,GQMCCjsZcUGeyfhCDZux,Geneva,1229,Important,Presenting,11
23.05.2022,18,PMxTyNyf,Bandar Seri Begawan,1733,Optional,1,6
26.05.2022,23,iUabd,Majuro,26,Optional,0,13
29.05.2022,4,xiwDzEIqrmvme,Libreville,997,Moveable,28.06.2024,21
06.06.2022,5,PMyXbahJjVAkzAapze,George Town,928,Optional,0,3
12.06.2022,16,uBGawHhnmAXNIVwCGkydSeN,Quezon City,1635,Optional,1,20
14.06.2022,0,OigbTsRTzJNnuOiRy,San Juan,726,Important,Attending,21
20.06.2022,15,JCHpdJL,Hobart,929,Moveable,14.08.2024,8
23.06.2022,10,iEwWl DVyO,Leipzig,569,Important,Presenting,18
25.06.2022,5,nzPhfwsfbEJWHMnKJHuBbcC d,Wuhan,1942,Optional,1,20
29.06.2022,23,EkQBEoQDsn wNIqDAfO,Douala,1070,Optional,0,9
05.07.2022,7,zUfzXV,Accra,1714,Important,Attending,13
09.07.2022,19,LtMgVeaBY,Pelotas,980,Moveable,21.02.2022,4
10.07.2022,3,nFijsdOMGiyfceWhlg pjcX,Graz,1681,Important,Presenting,19
11.07.2022,21,UtgMlCcBvlGuCKYlGYomJslS,Warsaw,1484,Moveable,12.01.2022,20
14.07.2022,0, SIaGTSawOi,Cork (city),1903,Moveable,14.09.2023,2
22.07.2022,7,suoEjnN,Kanpur,821,Important,Presenting,15
26.07.2022,14,ihvWAyfuSXfryae,Yokohama,1612,Optional,1,2
26.07.2022,17,tYEUmAvDZL,Adana,154,Important,Presenting,9
28.07.2022,0,bXkPlMnLApXoAvKLf,Chittagong,1246,Optional,1,6
28.07.2022,11,ggICrjeFDgUdjxJy,Rabat,1419,Moveable,03.02.2023,10
31.07.2022,21,jhEjjGnbzYcoFNgadJHDeZ,Memphis,681,Optional,1,22
12.08.2022,2,TAuHnRSyyKXhVAxkjat,Sana'a,123,Moveable,06.09.2024,7
12.08.2022,21,pLoKrllT,Santiago de Cuba,1763,Moveable,14.11.2024,15
17.08.2022,7,cgLVncWR,Bratislava,1832,Optional,1,15
19.08.2022,11,swYEHfnloMxUbVLi C,Liverpool,931,Optional,1,16
23.08.2022,22, mDdJ,Sarajevo,1153,Important,Presenting,14
29.08.2022,11,lDsJDkGyVaoRdcNWIrLOyIMj,Port Said,585,Important,Attending,9
03.09.2022,13,rAyGNXwm,Prague,1066,Important,Attending,10
07.09.2022,15,lqFriBFWWH,Ponta Delgada,1221,Optional,1,11
10.09.2022,0,dzHTQmCruQMGc,Bahía Blanca,1071,Optional,0,4
